#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
B Range				1962	B32						Frame		Rigid				^cb32-(\d+)$	11001		11450
B Range				1962	B34						Frame		Rigid				^cb32-(\d+)$	11001		11450
B Range				1962	B32						Frame		Spring				^cb32c-(\d+)$	741			856
B Range				1962	B34						Frame		Spring				^cb32c-(\d+)$	741			856
B Range				1963	B34						Engine		Engine				^db34gs-(\d+)$	6881		99999
B Range				1963	B34						Frame		Rigid				^cb32-(\d+)$	11451		99999
B Range				1963	B34						Frame		Spring				^cb32c-(\d+)$	857			99999
B Range				1963	B34						Engine		Engine				^db34gs-(\d+)$	6881		99999
B Range				1963	B34						Frame		Rigid				^cb32-(\d+)$	11451		99999
B Range				1963	B34						Frame		Spring				^cb32c-(\d+)$	857			99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
M Range				1946	M20						Engine		Engine				^xm20-(\d+)$	101			99999
M Range				1946	M21						Engine		Engine				^xm21-(\d+)$	101			99999
M Range				1946	M20						Frame		Rigid				^xm20-(\d+)$	101			99999
M Range				1946	M21						Frame		Rigid				^xm20s-(\d+)$	101			99999
M Range				1947	M20						Engine		Engine				^xm20-(\d+)$	101			99999
M Range				1947	M21						Engine		Engine				^xm21-(\d+)$	101			99999
M Range				1947	M20						Frame		Rigid				^xm20-(\d+)$	101			99999
M Range				1947	M21						Frame		Rigid				^xm20-(\d+)$	101			99999
M Range				1948	M20						Engine		Engine				^ym20-(\d+)$	101			99999
M Range				1948	M21						Engine		Engine				^ym21-(\d+)$	101			99999
M Range				1948	M33						Engine		Engine				^ym33-(\d+)$	101			99999
M Range				1948	M20						Frame		Rigid				^ym20-(\d+)$	101			99999
M Range				1948	M21						Frame		Rigid				^ym20-(\d+)$	101			99999
M Range				1948	M33						Frame		Rigid				^ym20-(\d+)$	101			99999
M Range				1949	M20						Engine		Engine				^zm20-(\d+)$	101			4000
M Range				1949	M21						Engine		Engine				^zm21-(\d+)$	101			5000
M Range				1949	M33						Engine		Engine				^zm33-(\d+)$	101			3000
M Range				1949	M20						Frame		Rigid				^zm20-(\d+)$	101			4000
M Range				1949	M21						Frame		Rigid				^zm20-(\d+)$	101			4000
M Range				1949	M33						Frame		Rigid				^zm20-(\d+)$	101			4000
M Range				1949	M20						Frame		Rigid				^zm20-(\d+)$	4001		6000
M Range				1949	M21						Frame		Rigid				^zm20-(\d+)$	4001		6000
M Range				1949	M33						Frame		Rigid				^zm20-(\d+)$	4001		6000
M Range				1950	M20						Engine		Engine				^zm20-(\d+)$	4001		6000
M Range				1950	M21						Engine		Engine				^zm21-(\d+)$	5001		8000
M Range				1950	M33						Engine		Engine				^zm33-(\d+)$	3001		4000
M Range				1950	M20						Frame		Rigid				^zm20-(\d+)$	7001		10000
M Range				1950	M21						Frame		Rigid				^zm20-(\d+)$	7001		10000
M Range				1950	M33						Frame		Rigid				^zm20-(\d+)$	7001		10000
M Range				1951	M20						Engine		Engine				^zm20-(\d+)$	6001		7000
M Range				1951	M21						Engine		Engine				^zm21-(\d+)$	8001		10000
M Range				1951	M33						Engine		Engine				^zm33-(\d+)$	4001		5000
M Range				1951	M20						Frame		Rigid				^zm20-(\d+)$	10001		14000
M Range				1951	M21						Frame		Rigid				^zm20-(\d+)$	10001		14000
M Range				1951	M33						Frame		Rigid				^zm20-(\d+)$	10001		14000
M Range				1951	M20						Frame		Spring				^zm20s-(\d+)$	101			300
M Range				1951	M21						Frame		Spring				^zm20s-(\d+)$	101			300
M Range				1951	M33						Frame		Spring				^zm20s-(\d+)$	101			300
M Range				1952	M20						Engine		Engine				^zm20-(\d+)$	10001		14000
M Range				1952	M21						Engine		Engine				^zm21-(\d+)$	10001		14000
M Range				1952	M33						Engine		Engine				^zm33-(\d+)$	5001		99999
M Range				1952	M20						Frame		Rigid				^zm20-(\d+)$	14001		99999
M Range				1952	M21						Frame		Rigid				^zm20-(\d+)$	14001		99999
M Range				1952	M33						Frame		Rigid				^zm20-(\d+)$	14001		99999
M Range				1952	M20						Frame		Spring				^zm20s-(\d+)$	301			99999
M Range				1952	M21						Frame		Spring				^zm20s-(\d+)$	301			99999
M Range				1952	M33						Frame		Spring				^zm20s-(\d+)$	301			99999
M Range				1953	M20						Engine		Engine				^bm20-(\d+)$	101			1000
M Range				1953	M21						Engine		Engine				^bm21-(\d+)$	101			1600
M Range				1953	M33						Engine		Engine				^bm33-(\d+)$	101			500
M Range				1953	M20						Frame		Rigid				^bm20-(\d+)$	101			1000
M Range				1953	M21						Frame		Rigid				^bm20-(\d+)$	101			1000
M Range				1953	M33						Frame		Rigid				^bm20-(\d+)$	101			1000
M Range				1953	M20						Frame		Rigid				^bm20-(\d+)$	1001		1501
M Range				1953	M21						Frame		Rigid				^bm20-(\d+)$	1001		1501
M Range				1953	M33						Frame		Rigid				^bm20-(\d+)$	1001		1501
M Range				1953	M20						Frame		Spring				^bm20s-(\d+)$	101			1191
M Range				1953	M21						Frame		Spring				^bm20s-(\d+)$	101			1191
M Range				1953	M33						Frame		Spring				^bm20s-(\d+)$	101			1191
M Range				1954	M20						Engine		Engine				^bm20-(\d+)$	1001		1501
M Range				1954	M21						Engine		Engine				^bm21-(\d+)$	1601		4500
M Range				1954	M33						Engine		Engine				^bm33-(\d+)$	501			1300
M Range				1954	M20						Frame		Rigid				^bm20-(\d+)$	1502		2500
M Range				1954	M21						Frame		Rigid				^bm20-(\d+)$	1502		2500
M Range				1954	M33						Frame		Rigid				^bm20-(\d+)$	1502		2500
M Range				1954	M20						Frame		Rigid				^bm20-(\d+)$	2501		4000
M Range				1954	M21						Frame		Rigid				^bm20-(\d+)$	2501		4000
M Range				1954	M33						Frame		Rigid				^bm20-(\d+)$	2501		4000
M Range				1954	M20						Frame		Spring				^bm20s-(\d+)$	1192		4000
M Range				1954	M21						Frame		Spring				^bm20s-(\d+)$	1192		4000
M Range				1954	M33						Frame		Spring				^bm20s-(\d+)$	1192		4000
M Range				1955	M20						Engine		Engine				^bm20-(\d+)$	2501		4000
M Range				1955	M21						Engine		Engine				^bm21-(\d+)$	4501		7500
M Range				1955	M33						Engine		Engine				^bm33-(\d+)$	1301		2100
M Range				1955	M20						Frame		Rigid				^bm20-(\d+)$	4001		7000
M Range				1955	M21						Frame		Rigid				^bm20-(\d+)$	4001		7000
M Range				1955	M33						Frame		Rigid				^bm20-(\d+)$	4001		7000
M Range				1955	M20						Frame		Spring				^bm20s-(\d+)$	4001		8000
M Range				1955	M21						Frame		Spring				^bm20s-(\d+)$	4001		8000
M Range				1955	M33						Frame		Spring				^bm20s-(\d+)$	4001		8000
M Range				1956	M21						Engine		Engine				^bm21-(\d+)$	7501		11000
M Range				1956	M33						Engine		Engine				^bm33-(\d+)$	2101		99999
M Range				1956	M21						Frame		Rigid				^bm20-(\d+)$	7001		10000
M Range				1956	M33						Frame		Rigid				^bm20-(\d+)$	7001		10000
M Range				1956	M21						Frame		Spring				^bm20s-(\d+)$	8001		11000
M Range				1956	M33						Frame		Spring				^bm20s-(\d+)$	8001		11000
M Range				1957	M21						Engine		Engine				^bm21-(\d+)$	1			100
M Range				1957	M33						Engine		Engine				^bm33-(\d+)$	1			100
M Range				1957	M21						Frame		Rigid				^bm20-(\d+)$	1			100
M Range				1957	M33						Frame		Rigid				^bm20-(\d+)$	1			100
M Range				1957	M21						Frame		Spring				^bm20s-(\d+)$	1			100
M Range				1957	M33						Frame		Spring				^bm20s-(\d+)$	1			100
M Range				1958	M21						Engine		Engine				^bm21-(\d+)$	11001		12032
M Range				1958	M21						Frame		Rigid				^bm20-(\d+)$	10001		10312
M Range				1958	M21						Frame		Spring				^bm20s-(\d+)$	11001		12030
M Range				1959	M21						Engine		Engine				^bm21-(\d+)$	12033		12900
M Range				1959	M21						Frame		Rigid				^bm20-(\d+)$	10313		10450
M Range				1959	M21						Frame		Spring				^bm20s-(\d+)$	12031		12031
M Range				1960	M21						Engine		Engine				^bm21-(\d+)$	12901		14300
M Range				1960	M21						Frame		Rigid				^bm20-(\d+)$	10451		99999
M Range				1960	M21						Frame		Spring				^bm20s-(\d+)$	12031		14200
M Range				1961	M21						Engine		Engine				^bm21-(\d+)$	14301		15452
M Range				1961	M21						Frame		Spring				^bm20s-(\d+)$	14201		15060
M Range				1962	M21						Engine		Engine				^bm21-(\d+)$	15453		15587
M Range				1962	M21						Frame		Spring				^bm20s-(\d+)$	15061		15158
M Range				1963	M21						Engine		Engine				^bm21-(\d+)$	15588		99999
M Range				1963	M21						Frame		Spring				^bm20s-(\d+)$	15159		99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
C15 Range			1959	C15						Engine		Engine				^c15-(\d+)$		101			11000
C15 Range			1959	C15						Frame		Frame				^c15-(\d+)$		101			11100
C15 Range			1960	C15						Engine		Engine				^c15-(\d+)$		11001		11100
C15 Range			1960	C15						Frame		Frame				^c15-(\d+)$		11101		21250
C15 Range			1961	C15						Engine		Engine				^c15-(\d+)$		21251		22000
C15 Range			1961	S80						Engine		Engine				^c15ss-(\d+)$	101			1100
C15 Range			1961	C15						Frame		Frame				^c15-(\d+)$		22001		27643
C15 Range			1961	S80						Frame		Frame				^c15-(\d+)$		27644		29838
C15 Range			1962	C15						Engine		Engine				^c15-(\d+)$		29839		31800
C15 Range			1962	S80						Engine		Engine				^c15ss-(\d+)$	1101		2704
C15 Range			1962	C15						Frame		Frame				^c15-(\d+)$		31801		38034
C15 Range			1962	S80						Frame		Frame				^c15-(\d+)$		31801		38034
C15 Range			1963	C15						Engine		Engine				^c15-(\d+)$		41807		42210
C15 Range			1963	S80						Engine		Engine				^c15ss-(\d+)$	2705		3632
C15 Range			1963	C15						Frame		Frame				^c15-(\d+)$		38035		41806
C15 Range			1963	S80						Frame		Frame				^c15-(\d+)$		38035		41806
C15 Range			1964	C15						Engine		Engine				^c15d-(\d+)$	101			99999
C15 Range			1964	S80						Engine		Engine				^c15ss-(\d+)$	3633		99999
C15 Range			1964	C15						Frame		Frame				^c15-(\d+)$		42211		45500
C15 Range			1964	S80						Frame		Frame				^c15-(\d+)$		42211		45500
C15 Range			1965	C15						Engine		Engine				^c15f-(\d+)$	101			2088
C15 Range			1965	S80						Engine		Engine				^c15fss-(\d+)$	101			2000
C15 Range			1965	C15						Frame		Frame				^c15-(\d+)$		45501		49000
C15 Range			1965	S80						Frame		Frame				^c15-(\d+)$		45501		49000
C15 Range			1966	C15						Engine		Engine				^c15f-(\d+)$	2089		99999
C15 Range			1966	S80						Engine		Engine				^c15fss-(\d+)$	2001		99999
C15 Range			1966	C15						Frame		Frame				^c15-(\d+)$		49001		99999
C15 Range			1966	S80						Frame		Frame				^c15-(\d+)$		49001		99999
C15 Range			1967	C15						Engine		Engine				^c15g-(\d+)$	101			99999
C15 Range			1967	S80						Engine		Engine				^c15sg-(\d+)$	101			99999
C15 Range			1967	C15						Frame		Frame				^c15g-(\d+)$	101			99999
C15 Range			1967	S80						Frame		Frame				^c15sg-(\d+)$	101			99999
C15 Range			1959	C15S					Engine		Engine				^c15s-(\d+)$	101			300
C15 Range			1959	C15T					Engine		Engine				^c15t-(\d+)$	101			300
C15 Range			1959	C15S					Frame		Frame				^c15s-(\d+)$	101			300
C15 Range			1959	C15T					Frame		Frame				^c15s-(\d+)$	101			300
C15 Range			1960	C15S					Engine		Engine				^c15s-(\d+)$	301			500
C15 Range			1960	C15T					Engine		Engine				^c15t-(\d+)$	301			1055
C15 Range			1960	C15S					Frame		Frame				^c15s-(\d+)$	501			2111
C15 Range			1960	C15T					Frame		Frame				^c15s-(\d+)$	501			2111
C15 Range			1961	C15S					Engine		Engine				^c15s-(\d+)$	2112		2700
C15 Range			1961	C15T					Engine		Engine				^c15t-(\d+)$	1056		1450
C15 Range			1961	C15S					Frame		Frame				^c15s-(\d+)$	2701		3100
C15 Range			1961	C15T					Frame		Frame				^c15s-(\d+)$	2701		3100
C15 Range			1962	C15S					Engine		Engine				^c15s-(\d+)$	3101		3600
C15 Range			1962	C15T					Engine		Engine				^c15t-(\d+)$	1451		2000
C15 Range			1962	C15S					Frame		Frame				^c15s-(\d+)$	3601		4000
C15 Range			1962	C15T					Frame		Frame				^c15s-(\d+)$	10001		99999
C15 Range			1963	C15S					Engine		Engine				^c15s-(\d+)$	4001		4372
C15 Range			1963	C15T					Engine		Engine				^c15t-(\d+)$	2001		2115
C15 Range			1963	C15S					Frame		Frame				^c15c-(\d+)$	101			852
C15 Range			1963	C15T					Frame		Frame				^c15c-(\d+)$	101			852
C15 Range			1964	C15S					Engine		Engine				^c15s-(\d+)$	4373		10000
C15 Range			1964	C15T					Engine		Engine				^c15t-(\d+)$	2116		99999
C15 Range			1964	C15S					Frame		Frame				^c15c-(\d+)$	853			1600
C15 Range			1964	C15T					Frame		Frame				^c15c-(\d+)$	853			1600
C15 Range			1965	C15S					Engine		Engine				^c15fs-(\d+)$	101			99999
C15 Range			1965	C15T					Engine		Engine				^c15ft-(\d+)$	101			99999
C15 Range			1965	C15S					Frame		Frame				^c15c-(\d+)$	1601		99999
C15 Range			1965	C15T					Frame		Frame				^c15c-(\d+)$	1601		99999
C15 Range			1963	C15 USA					Engine		Engine				^c15b-(\d+)$	409			99999
C15 Range			1963	C15 police				Engine		Engine				^c15p-(\d+)$	41807		99999
C15 Range			1963	C15 USA					Frame		Frame				^c15-(\d+)$		38035		41806
C15 Range			1963	C15 police				Frame		Frame				^c15-(\d+)$		38035		41806
C15 Range			1964	C15 USA					Engine		Engine				^c15db-(\d+)$	101			99999
C15 Range			1964	C15 police				Engine		Engine				^c15dp-(\d+)$	101			99999
C15 Range			1964	C15 USA					Frame		Frame				^c15-(\d+)$		42211		45500
C15 Range			1964	C15 police				Frame		Frame				^c15-(\d+)$		42211		45500
C15 Range			1965	C15 USA					Engine		Engine				^c15fb-(\d+)$	101			99999
C15 Range			1965	C15 police				Engine		Engine				^c15fp-(\d+)$	101			99999
C15 Range			1965	C15 USA					Frame		Frame				^c15-(\d+)$		45501		49000
C15 Range			1965	C15 police				Frame		Frame				^c15-(\d+)$		45501		49000
C15 Range			1967	C15 police				Engine		Engine				^c15pg-(\d+)$	101			99999
C15 Range			1967	C15 police				Frame		Frame				^c15pg-(\d+)$	101			99999
C15 Range			1963	Pastoral				Engine		Engine				^c15t-(\d+)$	1602		2115
C15 Range			1963	C15 Racer				Engine		Engine				^c15r-(\d+)$	101			99999
C15 Range			1963	Pastoral				Frame		Frame				^c15a-(\d+)$	137			99999
C15 Range			1963	C15 Racer				Frame		Frame				^c15s-(\d+)$	4123		4372
C15 Range			1964	Pastoral				Engine		Engine				^c15t-(\d+)$	2116		99999
C15 Range			1964	Pastoral				Frame		Frame				^c15e-(\d+)$	101			135
C15 Range			1965	Pastoral				Engine		Engine				^c15ft-(\d+)$	101			99999
C15 Range			1965	Pastoral				Frame		Frame				^c15e-(\d+)$	136			99999
C15 Range			1963	C15 Starfire			Engine		Engine				^c15-(\d+)$		41807		42210
C15 Range			1963	C15 Starfire			Frame		Frame				^c15c-(\d+)$	101			852
C15 Range			1964	C15 Starfire			Engine		Engine				^c15sr-(\d+)$	225			99999
C15 Range			1964	C15 Starfire			Frame		Frame				^c15c-(\d+)$	853			1600
C15 Range			1965	C15 Starfire			Engine		Engine				^c15fsr-(\d+)$	101			99999
C15 Range			1965	C15 Trials Cat			Engine		Engine				^c15ft-(\d+)$	101			99999
C15 Range			1965	C15 Starfire			Frame		Frame				^c15c-(\d+)$	1601		99999
C15 Range			1965	C15 Trials Cat			Frame		Frame				^c15c-(\d+)$	1601		99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
B40 Range			1961	B40						Engine		Engine				^b40-(\d+)$		101			3510
B40 Range			1961	B40						Frame		Frame				^b40-(\d+)$		101			3510
B40 Range			1962	B40						Engine		Engine				^b40-(\d+)$		3601		4505
B40 Range			1962	SS90					Engine		Engine				^b40bss-(\d+)$	101			99999
B40 Range			1962	B40						Frame		Frame				^b40-(\d+)$		3511		3600
B40 Range			1962	SS90					Frame		Frame				^b40-(\d+)$		3511		3600
B40 Range			1963	B40						Engine		Engine				^b40-(\d+)$		4506		5016
B40 Range			1963	SS90					Engine		Engine				^b40ss-(\d+)$	180			425
B40 Range			1963	B40						Frame		Frame				^b40-(\d+)$		5017		5274
B40 Range			1963	SS90					Frame		Frame				^b40-(\d+)$		5017		5274
B40 Range			1964	B40						Engine		Engine				^b40-(\d+)$		5275		6667
B40 Range			1964	SS90					Engine		Engine				^b40ss-(\d+)$	426			99999
B40 Range			1964	B40						Frame		Frame				^b40-(\d+)$		6668		7774
B40 Range			1964	SS90					Frame		Frame				^b40-(\d+)$		6668		7774
B40 Range			1965	B40						Engine		Engine				^b40f-(\d+)$	101			1148
B40 Range			1965	SS90					Engine		Engine				^b40fss-(\d+)$	101			99999
B40 Range			1965	B40						Frame		Frame				^b40-(\d+)$		7775		9972
B40 Range			1965	SS90					Frame		Frame				^b40-(\d+)$		7775		9972
B40 Range			1966	B40						Engine		Engine				^b40f-(\d+)$	1149		99999
B40 Range			1966	B40						Engine		Engine				^b40g-(\d+)$	101			200
B40 Range			1966	B40						Frame		Frame				^b40-(\d+)$		9973		99999
B40 Range			1966	B40						Frame		Frame				^b40-(\d+)$		9973		99999
B40 Range			1967	B40						Engine		Engine				^b40g-(\d+)$	201			99999
B40 Range			1967	B40						Frame		Frame				^b40g-(\d+)$	201			99999
B40 Range			1963	B40 (USA)				Engine		Engine				^b40b-(\d+)$	563			1087
B40 Range			1963	B40 (USA)				Frame		Frame				^b40-(\d+)$		5017		6667
B40 Range			1964	B40 (Police)			Engine		Engine				^b40p-(\d+)$	5275		99999
B40 Range			1964	B40 (Police)			Frame		Frame				^b40-(\d+)$		6668		7774
B40 Range			1965	B40 (Police)			Engine		Engine				^b40fp-(\d+)$	101			9999
B40 Range			1965	B40 (Police)			Frame		Frame				^b40-(\d+)$		7775		9972
B40 Range			1964	B40 Super Star			Engine		Engine				^b40b-(\d+)$	1088		1088
B40 Range			1964	B40 Super Star			Frame		Frame				^b40-(\d+)$		6668		7774
B40 Range			1965	B40 Sportsman			Engine		Engine				^b40fb-(\d+)$	101			101
B40 Range			1965	B40 Sportsman			Frame		Frame				^b40-(\d+)$		7775		9972
B40 Range			1964	B40 Enduro Star			Engine		Engine				^b40t-(\d+)$	143			9999
B40 Range			1964	B40 Enduro Star			Frame		Frame				^c15c-(\d+)$	853			1600
B40 Range			1965	B40 Enduro Star			Engine		Engine				^b40fe-(\d+)$	101			99999
B40 Range			1965	B40 Enduro Star			Frame		Frame				^c15c-(\d+)$	1601		3136
B40 Range			1969	B40 Rough Rider			Engine		Engine				^hcb40-(\d+)$	462			99999
B40 Range			1969	B40 Rough Rider			Frame		Frame				^hcb40-(\d+)$	462			99999
C25 Range			1967	C25						Engine		Engine				^c25-(\d+)$		101			99999
B25 Range			1967	B25						Engine		Engine				^c25-(\d+)$		101			99999
C25 Range			1967	C25						Frame		Frame				^c25-(\d+)$		101			99999
B25 Range			1967	B25						Frame		Frame				^b25-(\d+)$		101			99999
B25 Range			1968	B25						Engine		Engine				^b25b-(\d+)$	101			99999
B25 Range			1968	B25						Frame		Frame				^b25b-(\d+)$	101			99999
B44 Range			1966	B44GP					Engine		Engine				^b44-(\d+)$		101			130
B44 Range			1966	B44GP					Frame		Frame				^b44-(\d+)$		101			130
B44 Range			1967	B44GP					Engine		Engine				^b44-(\d+)$		131			266
B44 Range			1967	B44GP					Frame		Frame				^b44-(\d+)$		267			99999
B44 Range			1966	B44VE					Engine		Engine				^b44e-(\d+)$	101			99999
B44 Range			1966	B44VE					Frame		Frame				^c15c-(\d+)$	3137		12345
B44 Range			1967	B44VE					Engine		Engine				^b44ea-(\d+)$	101			99999
B44 Range			1967	B44VE					Frame		Frame				^b44ea-(\d+)$	101			99999
B44 Range			1967	B44VR					Engine		Engine				^b44r-(\d+)$	101			99999
B44 Range			1967	B44VR					Frame		Frame				^b44r-(\d+)$	101			99999
#B44 Range			1968	B44SS					Engine		Engine				^b44b-(\d+)$	101SS		101SS
#B44 Range			1968	B44SS					Frame		Frame				^b44b-(\d+)$	101VS		101VS
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
A Range				1947	A7						Frame		Rigid				^xa7-(\d+)$		101			99999
A Range				1947	A7						Engine		Engine				^xa7-(\d+)$		101			99999
A Range				1948	A7						Engine		Engine				^ya7-(\d+)$		101			99999
A Range				1948	A7						Frame		Rigid				^ya7-(\d+)$		101			99999
A Range				1949	A7						Engine		Engine				^za7-(\d+)$		101			7000
A Range				1949	A7ST					Engine		Engine				^za7s-(\d+)$	101			4000
A Range				1949	A7						Frame		Rigid				^za7-(\d+)$		101			4000
A Range				1949	A7ST					Frame		Rigid				^za7-(\d+)$		101			4000
A Range				1949	A7						Frame		Plunger				^za7s-(\d+)$	101			6000
A Range				1949	A7ST					Frame		Plunger				^za7s-(\d+)$	101			6000
A Range				1950	A7						Engine		Engine				^za7-(\d+)$		7001		8000
A Range				1950	A7ST					Engine		Engine				^za7s-(\d+)$	4001		6000
A Range				1950	A10						Engine		Engine				^za10-(\d+)$	101			4000
A Range				1950	A7						Frame		Rigid				^za7-(\d+)$		4001		7000
A Range				1950	A7ST					Frame		Rigid				^za7-(\d+)$		4001		7000
A Range				1950	A10						Frame		Rigid				^za7-(\d+)$		4001		7000
A Range				1950	A7						Frame		Plunger				^za7s-(\d+)$	6001		14000
A Range				1950	A7ST					Frame		Plunger				^za7s-(\d+)$	6001		14000
A Range				1950	A10						Frame		Plunger				^za7s-(\d+)$	6001		14000
A Range				1951	A7						Engine		Engine				^aa7-(\d+)$		101		5000
A Range				1951	A7ST					Engine		Engine				^aa7s-(\d+)$	101		1000
A Range				1951	A10						Engine		Engine				^za10-(\d+)$	4001	12000
A Range				1951	A7						Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1951	A7ST					Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1951	A10						Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1951	A7						Frame		Plunger				^za7s-(\d+)$	14001	26000
A Range				1951	A7ST					Frame		Plunger				^za7s-(\d+)$	14001	26000
A Range				1951	A10						Frame		Plunger				^za7s-(\d+)$	14001	26000
A Range				1952	A7						Engine		Engine				^aa7-(\d+)$		5001	99999
A Range				1952	A7ST					Engine		Engine				^aa7s-(\d+)$	1001	99999
A Range				1952	A10						Engine		Engine				^za10-(\d+)$	12001	99999
A Range				1952	A7						Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1952	A7ST					Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1952	A10						Frame		Rigid				^za7-(\d+)$		8001	99999
A Range				1952	A7						Frame		Plunger				^za7s-(\d+)$	26001	99999
A Range				1952	A7ST					Frame		Plunger				^za7s-(\d+)$	26001	99999
A Range				1952	A10						Frame		Plunger				^za7s-(\d+)$	26001	99999
A Range				1953	A7						Engine		Engine				^ba7-(\d+)$		101		2000
A Range				1953	A7ST					Engine		Engine				^ba7s-(\d+)$	101		2000
A Range				1953	A10						Engine		Engine				^ba10-(\d+)$	101		7000
A Range				1953	A7						Frame		Rigid				^ba7-(\d+)$		101		2000
A Range				1953	A7ST					Frame		Rigid				^ba7-(\d+)$		101		2000
A Range				1953	A10						Frame		Rigid				^ba7-(\d+)$		101		2000
A Range				1953	A7						Frame		Plunger				^ba7s-(\d+)$	101		2000
A Range				1953	A7ST					Frame		Plunger				^ba7s-(\d+)$	101		2000
A Range				1953	A10						Frame		Plunger				^ba7s-(\d+)$	101		2000
A Range				1954	A7						Engine		Engine				^ba7-(\d+)$		2001	99999
A Range				1954	A7ST					Engine		Engine				^ba7s-(\d+)$	2001	8949
A Range				1954	A10						Engine		Engine				^ba10-(\d+)$	7001	11000
A Range				1954	A7						Frame		Plunger				^ba7s-(\d+)$	8950	15000
A Range				1954	A7ST					Frame		Plunger				^ba7s-(\d+)$	8950	15000
A Range				1954	A10						Frame		Plunger				^ba7s-(\d+)$	8950	15000
A Range				1955	A10						Engine		Engine				^ba10-(\d+)$	11001	14000
A Range				1955	A10						Frame		Plunger				^ba7s-(\d+)$	15001	18000
A Range				1956	A10						Engine		Engine				^ba10-(\d+)$	14001	16035
A Range				1956	A10						Frame		Plunger				^ba7s-(\d+)$	18001	20288
A Range				1957	A10						Engine		Engine				^ba10-(\d+)$	16036	99999
A Range				1957	A10						Frame		Plunger				^ba7s-(\d+)$	20289	99999
#=================================================================================================================================
#Class				Year	Model					Part Type	Part Description	Regex			Range Start	Range End
#=================================================================================================================================
A Range				1954	A7						Engine		Engine				^ca7-(\d+)$		101		1500
A Range				1954	A7SS					Engine		Engine				^ca7ss-(\d+)$	101		500
A Range				1954	A10						Engine		Engine				^ca10-(\d+)$	101		4500
A Range				1954	A10RR					Engine		Engine				^ca10r-(\d+)$	101		600
A Range				1954	A7						Frame		Swing arm			^ca7-(\d+)$		101		7000
A Range				1954	A7SS					Frame		Swing arm			^ca7-(\d+)$		101		7000
A Range				1954	A10						Frame		Swing arm			^ca7-(\d+)$		101		7000
A Range				1954	A10RR					Frame		Swing arm			^ca7-(\d+)$		101		7000
A Range				1955	A7						Engine		Engine				^ca7-(\d+)$		1501	2700
A Range				1955	A7SS					Engine		Engine				^ca7ss-(\d+)$	501		2300
A Range				1955	A10						Engine		Engine				^ca10-(\d+)$	4501	8000
A Range				1955	A10RR					Engine		Engine				^ca10r-(\d+)$	601		2000
A Range				1955	A7						Frame		Swing arm			^ca7-(\d+)$		7001	7100
A Range				1955	A7SS					Frame		Swing arm			^ca7-(\d+)$		7001	7100
A Range				1955	A10						Frame		Swing arm			^ca7-(\d+)$		7001	7100
A Range				1955	A10RR					Frame		Swing arm			^ca7-(\d+)$		7001	7100
A Range				1956	A7						Engine		Engine				^ca7-(\d+)$		2701	5000
A Range				1956	A7SS					Engine		Engine				^ca7ss-(\d+)$	2301	4500
A Range				1956	A10						Engine		Engine				^ca10-(\d+)$	8001	9999
A Range				1956	A10RR					Engine		Engine				^ca10r-(\d+)$	2001	6000
A Range				1956	A7						Frame		Swing arm			^ea7-(\d+)$		101		9999
A Range				1956	A7SS					Frame		Swing arm			^ea7-(\d+)$		101		9999
A Range				1956	A10						Frame		Swing arm			^ea7-(\d+)$		101		9999
A Range				1956	A10RR					Frame		Swing arm			^ea7-(\d+)$		101		9999
A Range				1957	A7						Engine		Engine				^ca7-(\d+)$		1		100
A Range				1957	A7SS					Engine		Engine				^ca7ss-(\d+)$	1		100
A Range				1957	A10						Engine		Engine				^ca10-(\d+)$	1		100
A Range				1957	A10RR					Engine		Engine				^ca10r-(\d+)$	1		100
A Range				1957	A7						Frame		Swing arm			^ca7-(\d+)$		1		100
A Range				1957	A7SS					Frame		Swing arm			^ca7-(\d+)$		1		100
A Range				1957	A10						Frame		Swing arm			^ca7-(\d+)$		1		100
A Range				1957	A10RR					Frame		Swing arm			^ca7-(\d+)$		1		100
A Range				1958	A7						Engine		Engine				^ca7-(\d+)$		5001	5866
A Range				1958	A7SS					Engine		Engine				^ca7ss-(\d+)$	4501	5424
A Range				1958	A10						Engine		Engine				^da10-(\d+)$	651		4615
A Range				1958	A10RR					Engine		Engine				^ca10r-(\d+)$	6001	8192
A Range				1958	A7						Frame		Swing arm			^fa7-(\d+)$		101		8521
A Range				1958	A7SS					Frame		Swing arm			^fa7-(\d+)$		101		8521
A Range				1958	A10						Frame		Swing arm			^fa7-(\d+)$		101		8521
A Range				1958	A10RR					Frame		Swing arm			^fa7-(\d+)$		101		8521
